"60","Puerto Rico","PR","Ponce","Ponce","00716","US","US","-66.623600","17.987655","1"
"61","Puerto Rico","PR","Ponce","Ponce","00717","US","US","-66.614669","18.000417","1"
"62","Puerto Rico","PR","Naguabo","Naguabo","00718","US","US","-65.784727","18.250050","1"
"63","Puerto Rico","PR","Naranjito","Naranjito","00719","US","US","-66.248617","18.278197","1"
"64","Puerto Rico","PR","Orocovis","Orocovis","00720","US","US","-66.450958","18.204540","1"
"65","Puerto Rico","PR","Rio Grande","Palmer","00721","US","US","-66.080000","18.301800","1"
"66","Puerto Rico","PR","Patillas","Patillas","00723","US","US","-66.010668","18.025158","1"
"67","Puerto Rico","PR","Caguas","Caguas","00725","US","US","-66.034458","18.205646","1"
"68","Puerto Rico","PR","Caguas","Caguas","00726","US","US","-66.048900","18.236400","1"
"69","Puerto Rico","PR","Caguas","Caguas","00727","US","US","-66.055275","18.216710","1"
"70","Puerto Rico","PR","Ponce","Ponce","00728","US","US","-66.653370","18.019233","1"
"71","Puerto Rico","PR","Canovanas","Canovanas","00729","US","US","-65.891738","18.341924","1"
"72","Puerto Rico","PR","Ponce","Ponce","00730","US","US","-66.623600","18.032129","1"
"73","Puerto Rico","PR","Ponce","Ponce","00731","US","US","-66.641462","18.095571","1"
"74","Puerto Rico","PR","Ponce","Ponce","00732","US","US","-66.614600","18.013300","1"
"75","Puerto Rico","PR","Ponce","Ponce","00733","US","US","-66.614600","18.013300","1"
"76","Puerto Rico","PR","Ponce","Ponce","00734","US","US","-66.614600","18.013300","1"
"77","Puerto Rico","PR","Ceiba","Ceiba","00735","US","US","-65.653972","18.243581","1"
"78","Puerto Rico","PR","Cayey","Cayey","00736","US","US","-66.165322","18.078621","1"
"79","Puerto Rico","PR","Cayey","Cayey","00737","US","US","-66.166700","18.113800","1"
"80","Puerto Rico","PR","Fajardo","Fajardo","00738","US","US","-65.653972","18.309990","1"
"81","Puerto Rico","PR","Cidra","Cidra","00739","US","US","-66.153424","18.176915","1"
"82","Puerto Rico","PR","Fajardo","Puerto Real","00740","US","US","-65.593093","18.338024","1"
"83","Puerto Rico","PR","Humacao","Punta Santiago","00741","US","US","-65.766894","18.164620","1"
"84","Puerto Rico","PR","Ceiba","Roosevelt Roads","00742","US","US","-65.648200","18.266600","1"
"85","Puerto Rico","PR","Naguabo","Rio Blanco","00744","US","US","-65.790200","18.220200","1"
"86","Puerto Rico","PR","Rio Grande","Rio Grande","00745","US","US","-65.832284","18.345050","1"
"87","Puerto Rico","PR","Salinas","Salinas","00751","US","US","-66.260518","18.002225","1"
"88","Puerto Rico","PR","San Lorenzo","San Lorenzo","00754","US","US","-65.974986","18.142369","1"
"89","Puerto Rico","PR","Santa Isabel","Santa Isabel","00757","US","US","-66.391439","17.985792","1"
"90","Puerto Rico","PR","Vieques","Vieques","00765","US","US","-65.440098","18.126285","1"
"91","Puerto Rico","PR","Villalba","Villalba","00766","US","US","-66.474329","18.130000","1"
"92","Puerto Rico","PR","Yabucoa","Yabucoa","00767","US","US","-65.903106","18.068802","1"
"93","Puerto Rico","PR","Coamo","Coamo","00769","US","US","-66.351012","18.096036","1"
"94","Puerto Rico","PR","Las Piedras","Las Piedras","00771","US","US","-65.872030","18.196440","1"
"95","Puerto Rico","PR","Loiza","Loiza","00772","US","US","-65.910867","18.419378","1"
"96","Puerto Rico","PR","Luquillo","Luquillo","00773","US","US","-65.720102","18.338815","1"
"97","Puerto Rico","PR","Culebra","Culebra","00775","US","US","-65.294233","18.313697","1"
"98","Puerto Rico","PR","Juncos","Juncos","00777","US","US","-65.901732","18.206518","1"
"99","Puerto Rico","PR","Gurabo","Gurabo","00778","US","US","-65.974639","18.258919","1"
"100","Puerto Rico","PR","Ponce","Coto Laurel","00780","US","US","-66.562869","18.071098","1"
"101","Puerto Rico","PR","Comerio","Comerio","00782","US","US","-66.219798","18.225014","1"
"102","Puerto Rico","PR","Corozal","Corozal","00783","US","US","-66.330493","18.304629","1"
"103","Puerto Rico","PR","Guayama","Guayama","00784","US","US","-66.133308","18.018004","1"
"104","Puerto Rico","PR","Guayama","Guayama","00785","US","US","-66.110100","17.980000","1"
"105","Puerto Rico","PR","Aibonito","La Plata","00786","US","US","-66.233600","18.156400","1"
"106","Puerto Rico","PR","Humacao","Humacao","00791","US","US","-65.818996","18.138009","1"
"107","Puerto Rico","PR","Humacao","Humacao","00792","US","US","-65.827900","18.151900","1"
"108","Puerto Rico","PR","Barranquitas","Barranquitas","00794","US","US","-66.307012","18.200791","1"
"109","Puerto Rico","PR","Juana Diaz","Juana Diaz","00795","US","US","-66.493329","18.017302","1"
"110","Virgin Islands","VI","Saint Thomas","St Thomas","00801","US","US","-64.931400","18.343600","1"
"111","Virgin Islands","VI","Saint Thomas","St Thomas","00802","US","US","-64.932200","18.343600","1"
"112","Virgin Islands","VI","Saint Thomas","St Thomas","00803","US","US","-64.931400","18.343600","1"
"113","Virgin Islands","VI","Saint Thomas","St Thomas","00804","US","US","-64.931400","18.343600","1"
"114","Virgin Islands","VI","Saint Thomas","St Thomas","00805","US","US","-64.931400","18.343600","1"
"115","Virgin Islands","VI","Saint Croix","Christiansted","00820","US","US","-64.703369","17.745384","1"
"116","Virgin Islands","VI","Saint Croix","Christiansted","00821","US","US","-64.703900","17.748800","1"
"117","Virgin Islands","VI","Saint Croix","Christiansted","00822","US","US","-64.703900","17.748800","1"
